1	 4627150.88  8545755.44 415.29
2	 4627151.10  8545726.85 415.29
3	 4627147.34  8545699.05 415.29
4	 4627140.86  8545681.81 415.29
5	 4627131.24  8545661.60 415.29
6	 4627121.33  8545645.42 415.29
7	 4627119.04  8545639.60 415.29
8	 4627125.42  8545620.14 415.29
9	 4627130.92  8545604.09 415.29
10	 4627137.48  8545595.56 415.29
11	 4627139.36  8545593.15 415.29
12	 4627137.08  8545591.49 415.29
13	 4627133.20  8545595.68 415.29
14	 4627112.57  8545592.98 415.29
15	 4627105.22  8545574.36 415.29
16	 4627118.02  8545558.64 415.29
17	 4627138.07  8545560.85 415.29
18	 4627140.49  8545565.42 415.29
19	 4627148.24  8545561.70 415.29
20	 4627147.44  8545544.71 415.29
21	 4627126.33  8545544.79 415.29
22	 4627126.17  8545539.29 415.29
23	 4627147.36  8545538.27 415.29
24	 4627143.76  8545522.93 415.29
25	 4627146.91  8545531.28 415.29
26	 4627131.38  8545506.65 415.29
27	 4627134.08  8545478.64 415.29
28	 4627140.87  8545445.01 415.29
29	 4627147.14  8545419.28 415.29
30	 4627150.52  8545405.58 415.29
31	 4627153.72  8545385.48 415.29
32	 4627152.65  8545366.09 415.29
33	 4627146.07  8545359.87 415.29
104	 4626734.72  8545216.10 415.29
105	 4626726.42  8545219.91 415.29
106	 4626727.48  8545222.41 415.29
107	 4626726.23  8545236.67 415.29
108	 4626716.38  8545248.83 415.29
109	 4626715.19  8545255.68 415.29
110	 4626716.80  8545265.58 415.29
111	 4626717.46  8545275.64 415.29
112	 4626723.91  8545283.41 415.29
113	 4626722.34  8545295.10 415.29
114	 4626721.69  8545300.22 415.29
115	 4626724.36  8545308.04 415.29
116	 4626723.82  8545315.20 415.29
117	 4626715.91  8545336.82 415.29
118	 4626710.14  8545349.12 415.29
119	 4626707.76  8545349.02 415.29
120	 4626705.61  8545350.91 415.29
121	 4626706.41  8545355.63 415.29
122	 4626710.19  8545358.19 415.29
123	 4626707.63  8545363.59 415.29
124	 4626709.38  8545381.25 415.29
125	 4626707.09  8545396.63 415.29
126	 4626709.11  8545408.63 415.29
127	 4626705.80  8545443.44 415.29
128	 4626705.37  8545470.41 415.29
129	 4626703.53  8545498.77 415.29
130	 4626699.98  8545511.05 415.29
131	 4626696.14  8545523.63 415.29
132	 4626692.51  8545537.19 415.29
133	 4626695.23  8545538.55 415.29
134	 4626694.08  8545541.27 415.29
135	 4626692.62  8545541.48 415.29
136	 4626689.06  8545553.20 415.29
137	 4626691.78  8545558.43 415.29
138	 4626691.47  8545564.61 415.29
139	 4626689.27  8545571.41 415.29
140	 4626691.57  8545572.36 415.29
141	 4626688.44  8545582.72 415.29
142	 4626677.28  8545594.54 415.29
143	 4626674.88  8545612.31 415.29
144	 4626675.91  8545628.28 415.29
145	 4626671.96  8545659.70 415.29
146	 4626669.21  8545685.34 415.29
147	 4626667.74  8545699.12 415.29
148	 4626662.54  8545724.93 415.29
149	 4626661.08  8545727.48 415.29
150	 4626656.07  8545744.08 415.29
151	 4626649.96  8545769.08 415.29
152	 4626645.95  8545789.32 415.29
153	 4626644.67  8545813.67 415.29
154	 4626642.64  8545831.71 415.29
155	 4626641.50  8545843.34 415.29
156	 4626637.60  8545860.84 415.29
157	 4626637.44  8545867.32 415.29
158	 4626637.84  8545878.77 415.29
159	 4626637.70  8545884.49 415.29
160	 4626640.53  8545886.64 415.29
161	 4626644.49  8545889.81 415.29
162	 4626651.05  8545893.21 415.29
163	 4626657.39  8545901.48 415.29
164	 4626670.86  8545904.85 415.29
165	 4626695.50  8545895.89 415.29
166	 4626739.73  8545882.41 415.29
167	 4626782.68  8545867.97 415.29
168	 4626822.94  8545850.93 415.29
169	 4627019.89  8545793.97 415.29
170	 4627109.33  8545769.65 415.29

