"X", "Y", "H"
 8602090.183		 4732683.043 	 445.830
8602088.154		 4732669.183 	 445.890
8602086.124		 4732655.324 	 445.810
8602083.556		 4732641.456 	 445.860
8602080.449		 4732627.579 	 445.860
8602077.342		 4732613.703 	 445.830
8602073.243		 4732600.058 	 445.830
8602069.144		 4732586.413 	 445.830
8602065.223		 4732572.895 	 445.860
8602061.479		 4732559.502 	 445.920
8602057.736		 4732546.109 	 446.070
8602053.633		 4732532.711 	 445.810
8602049.530		 4732519.313 	 445.660
8602045.295		 4732505.789 	 445.630
8602040.926		 4732492.140 	 445.750
8602036.558		 4732478.491 	 445.750
8602032.999		 4732464.731 	 445.720
8602029.441		 4732450.971 	 445.630
8602026.107		 4732437.215 	 445.540
8602022.998		 4732423.462 	 445.540
8602019.889		 4732409.709 	 445.480
8602016.239		 4732396.071 	 445.420
8602012.589		 4732382.433 	 445.220
8602008.489		 4732368.850 	 445.130
8602003.938		 4732355.321 	 445.220
8601999.388		 4732341.793 	 444.950
8601996.105		 4732327.667 	 444.980
8601992.821		 4732313.541 	 445.190
8601989.218		 4732299.780 	 445.100
8601985.295		 4732286.385 	 445.130
8601981.372		 4732272.990 	 445.130
8601977.540		 4732259.473 	 445.160
8601973.708		 4732245.956 	 445.220
8601970.283		 4732232.259 	 445.280
8601967.265		 4732218.384 	 445.310
8601964.248		 4732204.509 	 445.360
8601961.318		 4732190.759 	 445.420
8601958.389		 4732177.009 	 445.510
8601955.008		 4732163.375 	 445.600
8601951.176		 4732149.858 	 445.660
8601947.344		 4732136.341 	 445.660
8601943.067		 4732122.570 	 445.630
8601938.789		 4732108.799 	 445.600
8601934.462		 4732095.335 	 445.450
8601930.086		 4732082.180 	 445.540
8601925.709		 4732069.025 	 445.540
8601920.522		 4732055.980 	 445.570
8601915.334		 4732042.935 	 445.630
8601910.329		 4732029.770 	 445.690
8601905.505		 4732016.485 	 446.130
8601900.681		 4732003.199 	 446.070
8601895.859		 4731989.790 	 446.100
8601891.037		 4731976.381 	 446.070
8601885.899		 4731963.028 	 445.780
8601880.446		 4731949.733 	 445.870
8601874.993		 4731936.437 	 445.960
8601869.810		 4731923.146 	 446.040
8601864.626		 4731909.855 	 446.100
8601859.352		 4731896.624 	 446.170
8601853.987		 4731883.453 	 446.200
8601848.622		 4731870.282 	 446.190
8601842.802		 4731857.474 	 446.210
8601836.982		 4731844.667 	 446.180
8601831.250		 4731831.984 	 446.220
8601825.605		 4731819.427 	 446.240
8601819.961		 4731806.869 	 446.250
8601814.674		 4731794.440 	 446.280
8601809.386		 4731782.011 	 446.300
8601803.831		 4731769.517 	 446.330
8601798.007		 4731756.956 	 446.310
8601792.183		 4731744.396 	 446.340
8601785.827		 4731731.333 	 446.440
8601779.472		 4731718.270 	 446.480
8601777.072		 4731705.084 	 446.600
8601778.627		 4731691.774 	 446.570
8601780.183		 4731678.465 	 446.660
8601791.353		 4731670.861 	 446.570
8601802.524		 4731663.257 	 446.480
8601814.429		 4731660.418 	 446.450
8601859.320		 4731700.071 	 446.360
8601863.959		 4731713.724 	 446.310
8601868.598		 4731727.378 	 446.250
8601872.698		 4731741.023 	 446.280
8601876.797		 4731754.668 	 446.250
8601881.035		 4731768.129 	 446.390
8601885.410		 4731781.408 	 446.340
8601889.785		 4731794.687 	 446.340
8601894.610		 4731807.973 	 446.360
8601899.434		 4731821.258 	 446.360
8601904.121		 4731834.727 	 446.510
8601908.669		 4731848.379 	 446.570
8601913.218		 4731862.031 	 446.420
8601917.140		 4731875.549 	 446.190
8601921.062		 4731889.068 	 445.830
8601925.344		 4731902.530 	 445.860
8601929.987		 4731915.937 	 445.830
8601934.629		 4731929.343 	 445.810
8601939.904		 4731942.513 	 445.750
8601945.180		 4731955.682 	 445.810
8601950.816		 4731968.734 	 445.920
8601956.814		 4731981.667 	 445.750
8601962.811		 4731994.601 	 445.720
8601968.356		 4732007.775 	 445.660
8601973.900		 4732020.948 	 445.630
8601978.993		 4732034.238 	 445.660
8601983.635		 4732047.645 	 445.690
8601988.277		 4732061.051 	 445.660
8601993.094		 4732074.831 	 445.660
8601997.910		 4732088.610 	 445.660
8602002.726		 4732102.390 	 445.630
8602007.542		 4732116.169 	 445.540
8602012.358		 4732129.949 	 445.600
8602016.815		 4732143.723 	 445.510
8602021.271		 4732157.497 	 445.450
8602025.637		 4732171.331 	 445.390
8602029.912		 4732185.226 	 445.330
8602034.187		 4732199.121 	 445.250
8602038.281		 4732213.136 	 445.220
8602042.374		 4732227.151 	 445.130
8602046.559		 4732241.106 	 445.070
8602050.833		 4732255.001 	 445.040
8602055.108		 4732268.895 	 444.980
8602059.291		 4732282.912 	 444.950
8602063.475		 4732296.929 	 444.920
8602067.390		 4732310.818 	 444.860
8602071.038		 4732324.579 	 444.720
8602074.686		 4732338.340 	 444.750
