1,4606803.473,8567834.713,779.55
2,4606806.163,8567833.818,779.61
3,4606803.287,8567832.029,779.64
4,4606805.808,8567829.705,779.76
5,4606803.658,8567832.041,779.79
6,4606805.549,8567831.703,779.88
7,4606805.101,8567829.064,779.85
8,4606802.604,8567831.272,780.00
9,4606804.982,8567832.011,780.10
10,4606804.814,8567826.717,780.22
11,4606802.701,8567829.242,780.34
12,4606805.379,8567829.695,780.43
13,4606804.737,8567826.689,780.49
14,4606803.195,8567830.043,780.49
15,4606806.412,8567828.382,780.34
16,4606802.743,8567828.188,780.28
17,4606805.243,8567827.883,780.13
18,4606805.942,8567829.337,780.00
19,4606807.143,8567829.930,779.91
20,4606809.758,8567827.333,779.70
21,4606812.614,8567825.578,779.39
22,4606814.779,8567827.161,778.85
23,4606816.144,8567827.278,778.48
24,4606819.014,8567826.443,778.39
25,4606822.054,8567824.708,778.42
26,4606822.591,8567826.453,778.42
27,4606821.129,8567831.374,778.42
28,4606822.577,8567829.277,778.42
29,4606824.502,8567832.366,778.39
30,4606819.519,8567831.083,778.39
31,4606820.874,8567834.869,778.33
32,4606816.681,8567833.412,778.33
33,4606815.322,8567838.317,778.33
34,4606817.501,8567836.000,778.30
35,4606812.961,8567838.227,778.27
36,4606814.983,8567841.900,778.21
37,4606810.791,8567840.751,778.21
38,4606812.318,8567843.996,778.21
39,4606809.128,8567843.440,778.27
40,4606803.290,8567845.627,778.39
41,4606805.556,8567843.113,778.63
42,4606801.381,8567848.821,779.00
43,4606803.318,8567844.920,779.39
44,4606796.771,8567847.731,779.67
45,4606797.615,8567849.976,779.85
46,4606798.218,8567851.637,779.91
47,4606798.400,8567854.341,780.07
48,4606794.510,8567859.678,780.31
49,4606795.474,8567856.685,780.49
50,4606796.158,8567861.117,780.74
51,4606791.181,8567863.928,780.92
52,4606792.284,8567865.600,780.92
53,4606792.894,8567867.839,780.83
54,4606787.669,8567872.550,780.74
55,4606788.694,8567870.276,780.83
56,4606788.255,8567873.204,780.95
57,4606789.270,8567875.170,780.89
58,4606788.236,8567878.093,780.68
59,4606790.513,8567877.966,780.68
60,4606792.614,8567879.137,780.89
61,4606790.737,8567882.568,780.80
62,4606795.383,8567883.410,780.64
63,4606793.988,8567884.246,780.58
64,4606795.132,8567886.077,780.52
65,4606794.488,8567888.997,780.40
66,4606795.700,8567890.543,780.28
67,4606794.797,8567892.989,780.40
68,4606794.957,8567895.114,780.28
69,4606795.940,8567900.132,780.19
70,4606792.251,8567902.665,780.13
71,4606792.807,8567904.267,780.22
72,4606793.309,8567908.954,780.28
73,4606788.860,8567910.947,780.37
74,4606788.417,8567915.845,780.58
75,4606788.882,8567918.135,780.64
76,4606788.645,8567923.355,780.49
77,4606790.195,8567924.310,780.40
78,4606788.254,8567927.371,780.43
79,4606788.689,8567932.772,780.31
80,4606790.302,8567933.731,780.37
81,4606788.894,8567938.482,780.22
82,4606788.928,8567941.095,780.25
83,4606789.817,8567945.065,780.28
84,4606788.888,8567947.573,780.07
85,4606789.103,8567949.812,780.22
86,4606790.420,8567954.579,780.10
87,4606786.325,8567956.844,779.97
88,4606786.441,8567961.272,779.91
89,4606786.315,8567963.490,780.22
90,4606787.014,8567965.745,780.64
91,4606783.173,8567970.555,780.83
92,4606783.209,8567973.140,780.64
93,4606783.635,8567975.648,780.68
94,4606784.377,8567979.901,780.55
95,4606784.521,8567981.174,780.37
96,4606782.122,8567984.820,780.03
97,4606784.655,8567986.320,780.07
98,4606780.174,8567991.468,780.22
99,4606781.022,8567993.401,780.40
100,4606782.067,8567995.312,780.49
101,4606776.838,8567997.971,780.43
102,4606777.115,8568003.163,780.31
103,4606779.108,8568004.684,780.19
104,4606774.519,8568009.380,780.16
105,4606776.000,8568011.669,780.19
106,4606771.543,8568013.575,780.13
107,4606770.678,8568016.821,780.25
108,4606773.341,8568018.813,780.43
109,4606768.919,8568020.867,780.49
110,4606770.488,8568023.291,780.46
111,4606764.485,8568023.897,780.43
112,4606766.418,8568025.069,780.37
113,4606766.557,8568027.403,780.31
114,4606761.905,8568029.788,780.28
115,4606763.313,8568032.738,780.28
116,4606760.351,8568034.685,780.31
117,4606761.137,8568036.741,780.34
118,4606756.033,8568038.992,780.49
119,4606756.033,8568041.447,780.52
120,4606757.664,8568043.463,780.46
121,4606752.722,8568046.164,780.58
122,4606753.308,8568048.467,780.61
